x2,y2,r_mag,ax2,ay2
-80541925.41674422,379606726.2879109,384399999.98482096,0.0006122995051187075,-0.002627053383161382
-83287005.08578756,385643253.00845367,384399999.98474526,0.0006288191766286311,-0.0026231482090333935
-86528353.0821001,379902817.934653,384399999.98470145,0.0006453139474926761,-0.002619139160141684
-90467512.45211887,372673802.02014077,384399999.9847039,0.0006617831678463748,-0.0026150264073903015
-89750601.67858867,372785951.7386608,384399999.984707,0.0006782261836712766,-0.0026108101066335335
-92590315.90030183,374223414.98425215,384399999.9845903,0.0006946423369826038,-0.0026064904010521042
-95072743.61661455,373579520.62901926,384399999.9844865,0.0007110309767132394,-0.00260206745879369
-96502973.62645295,377467999.05729705,384399999.98441756,0.0007273914588703523,-0.0025975414718828124
-99374007.25235546,372580650.1325758,384399999.9843925,0.000743723139845831,-0.002592912633550465
-102712124.70678282,370222267.7559358,384399999.98442453,0.0007600253742510721,-0.002588181130862191
-105851940.43189062,371976881.4758536,384399999.9843219,0.0007762975091423485,-0.002583347128177857
-108754593.7413705,369868364.409745,384399999.9841835,0.0007925388946707912,-0.0025784108006408624
-108603001.49011445,365880023.30163413,384399999.9840814,0.0008087488921071084,-0.0025733723572594555
-111677763.33392762,370396478.4287493,384399999.98402,0.0008249268649999919,-0.002568232013652458
-111121227.9173948,367392855.4617347,384399999.98401994,0.0008410721768584151,-0.0025629899851073307
-115694464.52089146,363705737.90653193,384399999.98400897,0.0008571841849001893,-0.0025576464691517975
-118497072.75135697,362422024.93494546,384399999.98384863,0.0008732622413824831,-0.0025522016508852108
-121985571.07077499,369722806.0571984,384399999.9837029,0.000889305708582061,-0.0025466557436321924
-120684480.27694462,367581704.06439966,384399999.9835998,0.0009053139578596714,-0.002541008984835766
-123879683.4962624,361155940.6688659,384399999.9835469,0.0009212863609314448,-0.002535261612832143
